strain	year	country	state	rflp	lineage
OR293558|USA/IA/61690-GA/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293559|USA/IA/63900-GF/2021|2021|USA_IA|1-4-2|L1C.5	2021	USA	IA	1-4-2	L1C.5
OR293560|USA/IA/66013-2/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293561|USA/IA/76753-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293562|USA/IA/80507-2/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293563|USA/IA/90519-22/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293564|USA/IA/91883-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293565|USA/IA/96924-1/2021|2021|USA_IA|1-3-4|L1C.5	2021	USA	IA	1-3-4	L1C.5
OR293566|USA/IA/97397-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293567|USA/IA/97626-1/2021|2021|USA_IA|1-25-4|L1C.5	2021	USA	IA	1-25-4	L1C.5
OR293568|USA/IA/109001-GA/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293569|USA/IA/111553-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
OR293570|USA/IA/113258-1/2021|2021|USA_IA|1-4-4|L1C.5	2021	USA	IA	1-4-4	L1C.5
JN654459|NADC30|2008|USA|1-4-4|L1C-unclade	2008	USA		1-4-4	L1C-unclade
OR293571|USA/IA/28506/2010|2010|USA_IA|1-4-4|L1C-unclade	2010	USA	IA	1-4-4	L1C-unclade
OR293572|USA/MN/31896/2010|2010|USA_MN|1-4-4|L1C-unclade	2010	USA	MN	1-4-4	L1C-unclade
OR293573|USA/IA/1346-B/2010|2010|USA_IA|1-4-3|L1C-unclade	2010	USA	IA	1-4-3	L1C-unclade
OR293574|USA/IA/22244/2011|2011|USA_IA|1-4-4|L1C-unclade	2011	USA	IA	1-4-4	L1C-unclade
OR293575|USA/IA/38127/2011|2011|USA_IA|1-4-4|L1C-unclade	2011	USA	IA	1-4-4	L1C-unclade
OR293576|USA/IA/23650-4/2011|2011|USA_IA|1-4-4|L1C-unclade	2011	USA	IA	1-4-4	L1C-unclade
OR293577|USA/IA/40370-34/2011|2011|USA_IA|1-4-4|L1C-unclade	2011	USA	IA	1-4-4	L1C-unclade
OR293578|USA/IA/15201-D/2012|2012|USA_IA|1-4-4|L1C-unclade	2012	USA	IA	1-4-4	L1C-unclade
KP283402|Minnesota17B|2013|USA|1-4-4|L1C-unclade	2013	USA		1-4-4	L1C-unclade
KU502831|PRRSV2-USA-LS1362-2013|2013|USA|1-4-2|L1C-unclade	2013	USA		1-4-2	L1C-unclade
OR293579|USA/IA/7831-A/2013|2013|USA_IA|1-2-4|L1C-unclade	2013	USA	IA	1-2-4	L1C-unclade
OR293580|USA/IL/8005-A/2013|2013|USA_IL|1-4-4|L1C-unclade	2013	USA	IL	1-4-4	L1C-unclade
OR293581|USA/CO/10781/2013|2013|USA_CO|1-4-2|L1C-unclade	2013	USA	CO	1-4-2	L1C-unclade
OR293582|USA/IA/6434-F/2013|2013|USA_IA|1-4-4|L1C-unclade	2013	USA	IA	1-4-4	L1C-unclade
OR293583|USA/IA/46845-33/2013|2013|USA_IA|1-4-4|L1C-unclade	2013	USA	IA	1-4-4	L1C-unclade
KU556989|HENSP1|2014|China|1-4-3|L1C-unclade	2014	China		1-4-3	L1C-unclade
MN046228|HeNXX-2014-12|2014|China|1-4-4|L1C-unclade	2014	China		1-4-4	L1C-unclade
OR293584|USA/IA/73861-14/2014|2014|USA_IA|1-4-4|L1C-unclade	2014	USA	IA	1-4-4	L1C-unclade
OR293585|USA/OH/33112-GB/2015|2015|USA_OH|1-3-4|L1C-unclade	2015	USA	OH	1-3-4	L1C-unclade
OR293586|USA/IA/43489-33/2016|2016|USA_IA|1-4-4|L1C-unclade	2016	USA	IA	1-4-4	L1C-unclade
MG845987|HENJZ-4|2017|China|1-12-4|L1C-unclade	2017	China		1-12-4	L1C-unclade
OR293587|USA/IA/11579-53/2017|2017|USA_IA|1-3-4|L1C-unclade	2017	USA	IA	1-3-4	L1C-unclade
OR293588|USA/IL/64894-GD/2017|2017|USA_IL|1-4-3|L1C-unclade	2017	USA	IL	1-4-3	L1C-unclade
OR293589|USA/IL/73012-2/2017|2017|USA_IL|1-3-4|L1C-unclade	2017	USA	IL	1-3-4	L1C-unclade
OR293590|USA/IL/24691-3/2018|2018|USA_IL|1-3-4|L1C-unclade	2018	USA	IL	1-3-4	L1C-unclade
OR293591|USA/IN/27764-GA/2019|2019|USA_IN|1-3-4|L1C-unclade	2019	USA	IN	1-3-4	L1C-unclade
OR293592|USA/IL/11535-5/2020|2020|USA_IL|1-4-2|L1C-unclade	2020	USA	IL	1-4-2	L1C-unclade
OR293593|USA/NE/19446-8/2020|2020|USA_NE|1-4-2|L1C-unclade	2020	USA	NE	1-4-2	L1C-unclade
OR293594|USA/IA/111887-1/2021|2021|USA_IA|1-3-4|L1C-unclade	2021	USA	IA	1-3-4	L1C-unclade
KU131568|SD11-21_P100|2011|USA|1-8-4|L1D	2011	USA		1-8-4	L1D
OR293595|USA/IA/6489/2004|2004|USA_IA|1-8-4|L1D	2004	USA	IA	1-8-4	L1D
OR293596|USA/IA/9640/2004|2004|USA_IA|1-8-4|L1D	2004	USA	IA	1-8-4	L1D
EU758677|PRRSV0000008646|2006|USA_IA|1-8-4|L1D	2006	USA	IA	1-8-4	L1D
OR293597|USA/IA/42024/2007|2007|USA_IA|1-8-4|L1D	2007	USA	IA	1-8-4	L1D
OR293598|USA/IA/151-1/2007|2007|USA_IA|1-8-4|L1D	2007	USA	IA	1-8-4	L1D
OR293599|USA/IA/31629-F/2008|2008|USA_IA|1-8-4|L1D	2008	USA	IA	1-8-4	L1D
OR293600|USA/IA/8047-2/2009|2009|USA_IA|1-8-3|L1D	2009	USA	IA	1-8-3	L1D
OR293601|USA/IA/13341-32/2010|2010|USA_IA|1-4-4|L1D	2010	USA	IA	1-4-4	L1D
OR293602|USA/IL/38910-C/2010|2010|USA_IL|1-8-4|L1D	2010	USA	IL	1-8-4	L1D
OR293603|USA/IA/7886-3/2011|2011|USA_IA|1-8-4|L1D	2011	USA	IA	1-8-4	L1D
OR293604|USA/IA/28794/2014|2014|USA_IA|1-8-4|L1D	2014	USA	IA	1-8-4	L1D
OR293605|USA/IL/27858-1/2014|2014|USA_IL|1-12-4|L1D	2014	USA	IL	1-12-4	L1D
OR293606|USA/IA/1904-2/2015|2015|USA_IA|1-8-2|L1D	2015	USA	IA	1-8-2	L1D
OR293607|USA/IA/11631-7/2015|2015|USA_IA|1-8-4|L1D	2015	USA	IA	1-8-4	L1D
OR293608|USA/IA/16830-1/2015|2015|USA_IA|1-8-4|L1D	2015	USA	IA	1-8-4	L1D
OR293609|USA/IA/20274-GH/2016|2016|USA_IA|1-8-4|L1D	2016	USA	IA	1-8-4	L1D
OR293610|USA/IA/37730-1/2019|2019|USA_IA|1-8-4|L1D	2019	USA	IA	1-8-4	L1D
OR293611|USA/IA/57516-GD/2019|2019|USA_IA|1-8-4|L1D	2019	USA	IA	1-8-4	L1D
OR293612|USA/IN/64537-GC/2019|2019|USA_IN|1-8-4|L1D	2019	USA	IN	1-8-4	L1D
OR293613|USA/IA/70368-1/2019|2019|USA_IA|1-8-4|L1D	2019	USA	IA	1-8-4	L1D
OR293614|USA/IA/77587-4/2019|2019|USA_IA|1-8-4|L1D	2019	USA	IA	1-8-4	L1D
OR293615|USA/IA/86142-GF/2019|2019|USA_IA|1-8-4|L1D	2019	USA	IA	1-8-4	L1D
OR293616|USA/IA/89319-GA/2019|2019|USA_IA|1-8-4|L1D	2019	USA	IA	1-8-4	L1D
OR293617|USA/IA/10363-1/2020|2020|USA_IA|1-8-4|L1D	2020	USA	IA	1-8-4	L1D
OR293618|USA/MN/23990-1/2020|2020|USA_MN|1-8-4|L1D	2020	USA	MN	1-8-4	L1D
OR293619|USA/MN/28057-5/2020|2020|USA_MN|1-8-4|L1D	2020	USA	MN	1-8-4	L1D
OR293620|USA/IA/3208-GD/2020|2020|USA_IA|1-8-4|L1D	2020	USA	IA	1-8-4	L1D
OR293621|USA/IA/56830-1/2020|2020|USA_IA|1-8-4|L1D	2020	USA	IA	1-8-4	L1D
OR293622|USA/IA/16262-1/2021|2021|USA_IA|1-8-4|L1D	2021	USA	IA	1-8-4	L1D
OR293623|USA/IL/25026-GA/2021|2021|USA_IL|1-8-4|L1D	2021	USA	IL	1-8-4	L1D
OR293624|USA/IA/72965-1/2021|2021|USA_IA|1-8-4|L1D	2021	USA	IA	1-8-4	L1D
OR293625|USA/IA/80198-1/2021|2021|USA_IA|1-8-4|L1D	2021	USA	IA	1-8-4	L1D
OR293626|USA/IA/85930-GA/2021|2021|USA_IA|1-8-4|L1D	2021	USA	IA	1-8-4	L1D
OR293627|USA/IA/105845-GA/2021|2021|USA_IA|1-8-4|L1D	2021	USA	IA	1-8-4	L1D
OR293628|USA/IA/111688-GA/2021|2021|USA_IA|1-8-4|L1D	2021	USA	IA	1-8-4	L1D
OR293629|USA/IA/112665-GA/2021|2021|USA_IA|1-8-4|L1D	2021	USA	IA	1-8-4	L1D
KU503563|PRRSV2-USA-LS608-2001|2001|USA|1-22-2|L1E	2001	USA		1-22-2	L1E
DQ476551|PRRSV0002257|2003|USA_MN|1-8-2|L1E	2003	USA	MN	1-8-2	L1E
JQ656133|K05-0050|2005|South Korea|1-8-2|L1E	2005	South Korea		1-8-2	L1E
EU758824|PRRSV0000008832|2007|USA_IA|1-4-2|L1E	2007	USA	IA	1-4-2	L1E
OR293630|USA/IA/3988-B/2007|2007|USA_IA|1-3-2|L1E	2007	USA	IA	1-3-2	L1E
KU501884|PRRSV2-USA-CB1122-2009|2009|USA|1-3-2|L1E	2009	USA		1-3-2	L1E
OR293631|USA/IA/37990/2010|2010|USA_IA|1-22-2|L1E	2010	USA	IA	1-22-2	L1E
KU503985|PRRSV2-USA-NP172-2011|2011|USA|1-22-2|L1E	2011	USA		1-22-2	L1E
OR293632|USA/IA/12264/2011|2011|USA_IA|1-22-2|L1E	2011	USA	IA	1-22-2	L1E
OR293633|USA/IA/4900-19/2011|2011|USA_IA|1-39-2|L1E	2011	USA	IA	1-39-2	L1E
OR293634|USA/IA/10451-31/2011|2011|USA_IA|1-4-3|L1E	2011	USA	IA	1-4-3	L1E
OR293635|USA/IA/12172-A/2011|2011|USA_IA|1-22-2|L1E	2011	USA	IA	1-22-2	L1E
OR293636|USA/IA/4788-B/2012|2012|USA_IA|1-22-2|L1E	2012	USA	IA	1-22-2	L1E
OR293637|USA/IA/13828-OF/2012|2012|USA_IA|1-22-2|L1E	2012	USA	IA	1-22-2	L1E
OR293638|USA/IL/21268-8/2012|2012|USA_IL|1-22-2|L1E	2012	USA	IL	1-22-2	L1E
OR293639|USA/NE/22466-A/2012|2012|USA_NE|1-22-2|L1E	2012	USA	NE	1-22-2	L1E
OR293640|USA/IA/36239-3/2012|2012|USA_IA|1-3-2|L1E	2012	USA	IA	1-3-2	L1E
OR293641|USA/IA/15576-10/2013|2013|USA_IA|1-22-2|L1E	2013	USA	IA	1-22-2	L1E
OR293642|USA/IA/16519-8/2013|2013|USA_IA|1-3-4|L1E	2013	USA	IA	1-3-4	L1E
OR293643|USA/NE/3374-9/2014|2014|USA_NE|1-3-2|L1E	2014	USA	NE	1-3-2	L1E
OR293644|USA/IL/3944/2015|2015|USA_IL|1-3-2|L1E	2015	USA	IL	1-3-2	L1E
OR293645|USA/IL/33367/2015|2015|USA_IL|1-3-2|L1E	2015	USA	IL	1-3-2	L1E
OR293646|USA/IL/74453/2015|2015|USA_IL|1-3-2|L1E	2015	USA	IL	1-3-2	L1E
OR293647|USA/IA/36110-GA/2015|2015|USA_IA|1-3-6|L1E	2015	USA	IA	1-3-6	L1E
OR293648|USA/IA/44707-1/2016|2016|USA_IA|1-4-4|L1E	2016	USA	IA	1-4-4	L1E
OR293649|USA/AZ/64825-2/2016|2016|USA_AZ|1-4-2|L1E	2016	USA	AZ	1-4-2	L1E
OR293650|USA/IA/31569-23/2017|2017|USA_IA|1-3-2|L1E	2017	USA	IA	1-3-2	L1E
OR293651|USA/OK/35522-GD/2017|2017|USA_OK|1-3-2|L1E	2017	USA	OK	1-3-2	L1E
OR293652|USA/IA/36731-1/2018|2018|USA_IA|1-3-4|L1E	2018	USA	IA	1-3-4	L1E
OR293653|USA/IA/15587-GA/2019|2019|USA_IA|1-3-4|L1E	2019	USA	IA	1-3-4	L1E
OR293654|USA/AZ/73366-1/2020|2020|USA_AZ|1-3-2|L1E	2020	USA	AZ	1-3-2	L1E
OR293655|USA/OK/20217-3/2020|2020|USA_OK|1-3-1|L1E	2020	USA	OK	1-3-1	L1E
DQ475444|PRRSV0000862|2001|USA_MN|1-8-3|L1F	2001	USA	MN	1-8-3	L1F
EU755578|PRRSV0000001537|2002|USA_MN|1-8-4|L1F	2002	USA	MN	1-8-4	L1F
DQ476456|PRRSV0002149|2003|USA_MN|1-8-4|L1F	2003	USA	MN	1-8-4	L1F
DQ474989|PRRSV0000286|2004|USA|1-8-4|L1F	2004	USA		1-8-4	L1F
DQ476932|PRRSV0002720|2004|USA_MN|1-12-4|L1F	2004	USA	MN	1-12-4	L1F
EU755847|PRRSV0000003054|2004|USA_MN|1-8-4|L1F	2004	USA	MN	1-8-4	L1F
OR293656|USA/IA/5913/2004|2004|USA_IA|1-16-4|L1F	2004	USA	IA	1-16-4	L1F
OR293657|USA/MN/371-C/2004|2004|USA_MN|1-8-4|L1F	2004	USA	MN	1-8-4	L1F
DQ478313|PRRSV0004443|2005|USA_MN|1-8-4|L1F	2005	USA	MN	1-8-4	L1F
EU756176|PRRSV0000005195|2005|USA_MN|1-8-4|L1F	2005	USA	MN	1-8-4	L1F
OR293658|USA/IA/18067-1/2005|2005|USA_IA|1-8-4|L1F	2005	USA	IA	1-8-4	L1F
EU756564|PRRSV0000005552|2006|USA_MN|1-16-4|L1F	2006	USA	MN	1-16-4	L1F
KU501499|PRRSV2-USA-LS1386-2006|2006|USA|1-8-4|L1F	2006	USA		1-8-4	L1F
OR293659|USA/MN/30278-C/2006|2006|USA_MN|1-8-4|L1F	2006	USA	MN	1-8-4	L1F
OR293660|USA/MN/45247-D/2006|2006|USA_MN|1-8-4|L1F	2006	USA	MN	1-8-4	L1F
EU759307|PRRSV2000000140|2007|USA_MN|1-8-4|L1F	2007	USA	MN	1-8-4	L1F
EU759673|PRRSV2000000514|2007|USA_IA|1-8-4|L1F	2007	USA	IA	1-8-4	L1F
OR293661|USA/IA/2730-B/2007|2007|USA_IA|1-8-4|L1F	2007	USA	IA	1-8-4	L1F
OR293662|USA/NE/3516-A/2007|2007|USA_NE|1-16-3|L1F	2007	USA	NE	1-16-3	L1F
OR293663|USA/IA/17787-A/2007|2007|USA_IA|1-8-4|L1F	2007	USA	IA	1-8-4	L1F
OR293664|USA/IA/42806-N/2007|2007|USA_IA|1-8-4|L1F	2007	USA	IA	1-8-4	L1F
OR293665|USA/IA/26585/2008|2008|USA_IA|1-4-4|L1F	2008	USA	IA	1-4-4	L1F
OR293666|USA/IA/37867/2008|2008|USA_IA|1-8-4|L1F	2008	USA	IA	1-8-4	L1F
OR293667|USA/IA/35620-3/2008|2008|USA_IA|1-8-4|L1F	2008	USA	IA	1-8-4	L1F
OR293668|USA/IA/34974/2010|2010|USA_IA|1-4-4|L1F	2010	USA	IA	1-4-4	L1F
OR293669|USA/IA/15914-12/2010|2010|USA_IA|1-8-4|L1F	2010	USA	IA	1-8-4	L1F
OR293670|USA/IA/33855-14/2010|2010|USA_IA|1-8-3|L1F	2010	USA	IA	1-8-3	L1F
OR293671|USA/IA/2206-35/2011|2011|USA_IA|1-12-4|L1F	2011	USA	IA	1-12-4	L1F
OR293672|USA/IA/10129-10/2011|2011|USA_IA|1-12-4|L1F	2011	USA	IA	1-12-4	L1F
OR293673|USA/IA/23800-5/2011|2011|USA_IA|1-8-4|L1F	2011	USA	IA	1-8-4	L1F
OR293679|USA/IA/14520-24/2011|2011|USA_IA|1-16-4|L1F	2011	USA	IA	1-16-4	L1F
KU504149|PRRSV2-USA-NP353-2012|2012|USA|1-8-4|L1F	2012	USA		1-8-4	L1F
OR293674|USA/IA/39242-C/2012|2012|USA_IA|1-8-2|L1F	2012	USA	IA	1-8-2	L1F
OR293675|USA/IA/14698/2013|2013|USA_IA|1-4-3|L1F	2013	USA	IA	1-4-3	L1F
OR293676|USA/IA/3989-7/2013|2013|USA_IA|1-4-4|L1F	2013	USA	IA	1-4-4	L1F
OR293677|USA/IA/28319-2/2013|2013|USA_IA|1-2-4|L1F	2013	USA	IA	1-2-4	L1F
OR293678|USA/IA/43581-106/2013|2013|USA_IA|1-4-4|L1F	2013	USA	IA	1-4-4	L1F
OR293680|USA/IA/25031-A/2015|2015|USA_IA|1-8-4|L1F	2015	USA	IA	1-8-4	L1F
OR293681|USA/VA/75503-3/2018|2018|USA_VA|1-8-4|L1F	2018	USA	VA	1-8-4	L1F
OR293682|USA/IL/82892-1/2021|2021|USA_IL|1-8-4|L1F	2021	USA	IL	1-8-4	L1F
OR293983|PRRSGard|N/A|USA|1-8-4|L1F	N/A	USA		1-8-4	L1F
OR293683|USA/OK/49165-1/2013|2013|USA_OK|1-8-4|L1H	2013	USA	OK	1-8-4	L1H
OR293684|USA/IA/63471-1/2014|2014|USA_IA|1-4-4|L1H	2014	USA	IA	1-4-4	L1H
OR293685|USA/IA/74489-GA/2015|2015|USA_IA|1-8-4|L1H	2015	USA	IA	1-8-4	L1H
OR293686|USA/IA/12879-GF/2016|2016|USA_IA|1-8-3|L1H	2016	USA	IA	1-8-3	L1H
OR293687|USA/KS/15854-GC/2016|2016|USA_KS|1-8-4|L1H	2016	USA	KS	1-8-4	L1H
OR293688|USA/IA/43677-GA/2016|2016|USA_IA|1-8-3|L1H	2016	USA	IA	1-8-3	L1H
OR293689|USA/OK/59016-3/2016|2016|USA_OK|1-8-4|L1H	2016	USA	OK	1-8-4	L1H
OR293690|USA/IA/4579-1/2017|2017|USA_IA|1-8-4|L1H	2017	USA	IA	1-8-4	L1H
OR293691|USA/IA/56365-GA/2017|2017|USA_IA|1-8-4|L1H	2017	USA	IA	1-8-4	L1H
OR293692|USA/KS/18849-GG/2018|2018|USA_KS|1-4-4|L1H	2018	USA	KS	1-4-4	L1H
OR293693|USA/OK/33224-GF/2018|2018|USA_OK|1-8-2|L1H	2018	USA	OK	1-8-2	L1H
OR293694|USA/IA/44210-2/2018|2018|USA_IA|1-8-4|L1H	2018	USA	IA	1-8-4	L1H
OR293695|USA/IN/64198-GA/2018|2018|USA_IN|1-8-4|L1H	2018	USA	IN	1-8-4	L1H
OR293696|USA/IA/84414-1/2018|2018|USA_IA|1-12-2|L1H	2018	USA	IA	1-12-2	L1H
OR293697|USA/IL/86915-H/2018|2018|USA_IL|1-4-4|L1H	2018	USA	IL	1-4-4	L1H
OR293698|USA/IL/13426-9/2019|2019|USA_IL|1-4-4|L1H	2019	USA	IL	1-4-4	L1H
OR293699|USA/OK/16994-1/2019|2019|USA_OK|1-12-4|L1H	2019	USA	OK	1-12-4	L1H
OR293700|USA/IA/23756-1/2019|2019|USA_IA|1-8-4|L1H	2019	USA	IA	1-8-4	L1H
OR293701|USA/OK/25167-2/2019|2019|USA_OK|1-12-4|L1H	2019	USA	OK	1-12-4	L1H
OR293702|USA/IA/71864-7/2019|2019|USA_IA|1-8-4|L1H	2019	USA	IA	1-8-4	L1H
OR293703|USA/OK/77817-7/2019|2019|USA_OK|1-12-4|L1H	2019	USA	OK	1-12-4	L1H
OR293704|USA/IA/80088-1/2019|2019|USA_IA|1-12-4|L1H	2019	USA	IA	1-12-4	L1H
OR293705|USA/IA/93177-2/2019|2019|USA_IA|1-8-4|L1H	2019	USA	IA	1-8-4	L1H
OR293706|USA/IA/94335-GA/2019|2019|USA_IA|1-8-4|L1H	2019	USA	IA	1-8-4	L1H
OR293707|USA/IA/24203-1/2020|2020|USA_IA|1-8-4|L1H	2020	USA	IA	1-8-4	L1H
OR293708|USA/IA/25159-1/2020|2020|USA_IA|1-8-4|L1H	2020	USA	IA	1-8-4	L1H
OR293709|USA/IA/33465-2/2020|2020|USA_IA|1-8-4|L1H	2020	USA	IA	1-8-4	L1H
OR293710|USA/OK/47715-1/2020|2020|USA_OK|1-8-4|L1H	2020	USA	OK	1-8-4	L1H
OR293711|USA/IA/2033-GA/2020|2020|USA_IA|1-8-4|L1H	2020	USA	IA	1-8-4	L1H
OR293712|USA/OK/54727-2/2020|2020|USA_OK|1-12-4|L1H	2020	USA	OK	1-12-4	L1H
OR293713|USA/IA/85303-1/2020|2020|USA_IA|1-153-4|L1H	2020	USA	IA	1-153-4	L1H
OR293714|USA/IA/15737-1/2021|2021|USA_IA|1-8-4|L1H	2021	USA	IA	1-8-4	L1H
OR293715|USA/IA/54946-1/2021|2021|USA_IA|1-8-4|L1H	2021	USA	IA	1-8-4	L1H
OR293716|USA/IA/37997-1/2021|2021|USA_IA|1-8-4|L1H	2021	USA	IA	1-8-4	L1H
OR293717|USA/IA/108708-16/2021|2021|USA_IA|1-8-4|L1H	2021	USA	IA	1-8-4	L1H
OR293718|USA/NE/78012-2/2021|2021|USA_NE|1-8-2|L1H	2021	USA	NE	1-8-2	L1H
OR293719|USA/IA/91620-1/2021|2021|USA_IA|1-8-4|L1H	2021	USA	IA	1-8-4	L1H
OR293720|USA/CO/91970-GG/2021|2021|USA_CO|1-8-3|L1H	2021	USA	CO	1-8-3	L1H
OR293721|USA/IL/97762-1/2021|2021|USA_IL|1-8-4|L1H	2021	USA	IL	1-8-4	L1H
OR293722|USA/MO/106753-GE/2021|2021|USA_MO|1-8-4|L1H	2021	USA	MO	1-8-4	L1H
OR293723|USA/IA/39586/2003|2003|USA_IA|1-8-4|L1I	2003	USA	IA	1-8-4	L1I
OR293724|USA/IA/309B/2003|2003|USA_IA|1-16-2|L1I	2003	USA	IA	1-16-2	L1I
DQ474988|PRRSV0000285|2004|USA|1-8-4|L1I	2004	USA		1-8-4	L1I
OR293725|USA/IA/29754/2004|2004|USA_IA|1-8-4|L1I	2004	USA	IA	1-8-4	L1I
OR293726|USA/IA/6258-1/2004|2004|USA_IA|1-8-4|L1I	2004	USA	IA	1-8-4	L1I
OR293727|USA/IA/6258-2/2004|2004|USA_IA|1-8-4|L1I	2004	USA	IA	1-8-4	L1I
OR293728|USA/IA/7501-2/2004|2004|USA_IA|1-8-4|L1I	2004	USA	IA	1-8-4	L1I
OR293729|USA/IA/11228-A/2004|2004|USA_IA|1-16-4|L1I	2004	USA	IA	1-16-4	L1I
EU756128|PRRSV0000005145|2005|USA_MN|1-16-2|L1I	2005	USA	MN	1-16-2	L1I
OR293730|USA/IA/33997/2006|2006|USA_IA|1-8-4|L1I	2006	USA	IA	1-8-4	L1I
OR293731|USA/IA/3705-A/2006|2006|USA_IA|1-8-4|L1I	2006	USA	IA	1-8-4	L1I
OR293732|USA/IA/6177-A/2006|2006|USA_IA|1-8-4|L1I	2006	USA	IA	1-8-4	L1I
OR293733|USA/IA/27268-D/2006|2006|USA_IA|1-8-4|L1I	2006	USA	IA	1-8-4	L1I
OR293734|USA/IA/29378-22/2009|2009|USA_IA|1-8-4|L1I	2009	USA	IA	1-8-4	L1I
OR293735|USA/IA/29378-23/2009|2009|USA_IA|1-8-4|L1I	2009	USA	IA	1-8-4	L1I
